Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,CF,18,7,3,0,0,0,0,0,1,1,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,0,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,AMF,10,3,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - St John's Red Storm 2:0,United States. NCAA D1 Big East (W),2025-09-21,AMF,24,11,6,0,0,0,0,0,4,1,0,0,0,0,1,1,6,5,0,0,0,4,2,1,0,0,0,5,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Maine Blackbears 3:1,United States. NCAA D1 Non-conference matches (W),2025-09-14,AMF,28,18,8,0,0,0,0,0,6,4,0,0,0,0,0,0,8,4,0,0,0,3,1,1,1,92,0,6,4,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0.06,0,1,0,1,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Yale Bulldogs - UCONN Huskies 0:1,United States. NCAA D1 Non-conference matches (W),2025-09-05,LAMF,10,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Brown Bears 0:1,United States. NCAA D1 Non-conference matches (W),2025-08-29,AMF,24,18,8,0,0,0,0,0,7,5,1,1,0,0,1,0,7,3,0,0,1,6,3,3,2,0,0,3,2,1,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0.01,0,2,2,0,0,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Stony Brook Seawolves 1:0,United States. NCAA D1 Non-conference matches (W),2025-08-18,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
