Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,AMF,18,9,4,0,0,0,0,0,2,2,0,0,0,0,0,0,6,2,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,AMF,15,13,3,0,0,1,0,0.23,4,3,0,0,0,0,0,0,7,0,2,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,AMF,19,8,6,0,0,1,1,0.03,4,3,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Maine Blackbears 3:1,United States. NCAA D1 Non-conference matches (W),2025-09-14,RDMF,23,17,8,0,0,1,1,0.06,7,5,0,0,2,1,3,2,7,2,0,0,3,2,1,3,2,0,0,2,0,1,0,0,0,0,2,0,0,1,4,2,1,0,0,0,0,0,0.06,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Yale Bulldogs - UCONN Huskies 0:1,United States. NCAA D1 Non-conference matches (W),2025-09-05,AMF,18,11,6,0,0,1,0,0.02,3,3,0,0,0,0,0,0,6,3,0,0,0,2,0,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,1,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Rutgers Scarlet Knights - UCONN Huskies 0:0,United States. NCAA D1 Non-conference matches (W),2025-08-31,0,21,16,7,0,0,0,0,0,9,6,0,0,0,0,0,0,6,1,0,0,1,4,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,5,2,0,0,4,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Brown Bears 0:1,United States. NCAA D1 Non-conference matches (W),2025-08-29,0,6,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Texas A&M Aggies - UCONN Huskies 2:1,United States. NCAA D1 Non-conference matches (W),2025-08-24,"LDMF, RDMF",41,23,13,0,0,0,0,0,15,10,5,3,0,0,2,1,6,3,1,1,1,3,1,3,1,40,0,1,0,2,1,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,4,2,0,0,4,9,6,3,2,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Stony Brook Seawolves 1:0,United States. NCAA D1 Non-conference matches (W),2025-08-18,RDMF,23,18,12,0,0,0,0,0,7,5,0,0,1,0,1,1,10,7,4,3,0,5,2,2,1,0,0,4,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,4,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0
