Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
UCONN Huskies - Maine Blackbears 3:1,United States. NCAA D1 Non-conference matches (W),2025-09-14,0,28,22,10,0,0,0,0,0,9,4,0,0,2,0,1,1,10,6,3,2,1,5,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,3,3,0,0,1,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island Rhody - UCONN Huskies 0:2,United States. NCAA D1 Non-conference matches (W),2025-09-12,0,21,16,6,0,0,0,0,0,3,2,0,0,0,0,2,0,12,4,3,1,1,9,5,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Yale Bulldogs - UCONN Huskies 0:1,United States. NCAA D1 Non-conference matches (W),2025-09-05,CF,20,12,4,0,0,0,0,0,3,2,0,0,0,0,0,0,4,2,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Rutgers Scarlet Knights - UCONN Huskies 0:0,United States. NCAA D1 Non-conference matches (W),2025-08-31,0,8,4,3,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
