Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,"LCB, RB",54,34,14,0,0,0,0,0,16,7,6,2,0,0,1,1,11,6,0,0,4,11,9,6,0,0,0,6,4,1,1,0,0,3,0,0,0,0,4,1,0,0,1,0,0,0,0,0,3,2,0,0,7,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - St John's Red Storm 2:0,United States. NCAA D1 Big East (W),2025-09-21,LCB,106,70,42,0,0,0,0,0,44,34,12,8,2,1,0,0,13,6,1,0,2,8,3,8,1,0,0,7,5,2,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,9,5,3,1,26,26,18,3,3,0,0,0,0,0,0,2,2,0,0,0
UCONN Huskies - Maine Blackbears 3:1,United States. NCAA D1 Non-conference matches (W),2025-09-14,LCB,69,74,51,0,0,0,0,0,51,40,15,7,1,1,2,2,18,9,4,2,3,13,3,22,3,0,0,4,3,1,0,0,0,1,0,0,0,0,9,4,2,0,1,0,0,0,0,0,6,3,0,0,20,27,17,4,4,0,0,0,0,0,0,4,4,0,0,0
Rhode Island Rhody - UCONN Huskies 0:2,United States. NCAA D1 Non-conference matches (W),2025-09-12,LCB,97,59,37,0,0,0,0,0,35,25,13,5,1,1,0,0,17,10,1,1,2,10,4,15,0,0,0,10,6,1,1,0,0,2,0,0,0,0,5,2,0,0,0,2,1,0,0,0,6,3,1,1,16,22,14,0,0,0,0,0,0,0,0,0,0,0,0,1
Yale Bulldogs - UCONN Huskies 0:1,United States. NCAA D1 Non-conference matches (W),2025-09-05,LCB,104,58,35,0,0,3,1,0.1,33,21,11,5,1,0,1,0,10,9,0,0,6,14,8,15,0,0,0,6,6,1,1,0,0,1,0,0,0,0,3,2,1,0,1,1,1,0,0,0,4,1,1,1,12,22,13,1,1,0,0,0,0,0,0,1,1,0,0,0
Rutgers Scarlet Knights - UCONN Huskies 0:0,United States. NCAA D1 Non-conference matches (W),2025-08-31,LCB,109,47,30,0,0,0,0,0,35,24,9,5,0,0,0,0,6,4,1,1,2,10,7,7,0,0,0,3,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0,0,0,6,2,1,0,16,17,11,3,3,0,0,0,0,0,0,2,2,0,0,0
UCONN Huskies - Brown Bears 0:1,United States. NCAA D1 Non-conference matches (W),2025-08-29,"LCB, LCB3",102,87,52,0,0,0,0,0,46,28,13,5,2,0,4,2,29,19,2,2,4,14,5,14,1,0,0,11,8,3,3,0,0,3,0,0,0,0,13,6,1,0,1,3,3,0,0,0,9,3,3,0,23,25,14,4,3,0,0,0,0,0,0,1,1,0,0,0
Texas A&M Aggies - UCONN Huskies 2:1,United States. NCAA D1 Non-conference matches (W),2025-08-24,LCB,85,61,42,1,0,2,1,0.11,32,24,9,3,0,0,0,0,18,13,2,1,5,9,4,13,1,0,0,8,7,2,1,0,0,1,1,0,0,0,6,4,0,0,0,3,0,0,0,0,6,2,0,0,17,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Stony Brook Seawolves 1:0,United States. NCAA D1 Non-conference matches (W),2025-08-18,LCB,95,90,74,0,0,1,0,0.1,70,62,4,0,2,1,0,0,12,9,3,3,1,12,4,12,2,0,0,2,1,3,1,0,0,1,1,0,0,2,4,4,1,0,9,0,1,0,0.27,0,9,5,4,1,56,25,19,1,1,0,0,0,0,0,0,0,0,0,0,0
